Name,Link
Colors of Evil: Red,https://www.imdb.com/title/tt27578157/?ref_=chtmvm_t_76
Saltburn,https://www.imdb.com/title/tt17351924/?ref_=chtmvm_t_77
Monkey Man,https://www.imdb.com/title/tt9214772/?ref_=chtmvm_t_78
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chtmvm_t_79
St. Elmo's Fire,https://www.imdb.com/title/tt0090060/?ref_=chtmvm_t_80
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chtmvm_t_81
Die Hart Die Harter,https://www.imdb.com/title/tt32094375/?ref_=chtmvm_t_82
Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=chtmvm_t_83
Unsung Hero,https://www.imdb.com/title/tt23638614/?ref_=chtmvm_t_84
Unfrosted,https://www.imdb.com/title/tt14914430/?ref_=chtmvm_t_85
Beetlejuice,https://www.imdb.com/title/tt0094721/?ref_=chtmvm_t_86
Winnie-the-Pooh: Blood and Honey 2,https://www.imdb.com/title/tt23330554/?ref_=chtmvm_t_87
Barbie,https://www.imdb.com/title/tt1517268/?ref_=chtmvm_t_88
Mad Max,https://www.imdb.com/title/tt0079501/?ref_=chtmvm_t_89
Twister,https://www.imdb.com/title/tt0117998/?ref_=chtmvm_t_90
The Hunger Games,https://www.imdb.com/title/tt1392170/?ref_=chtmvm_t_91
Beetlejuice Beetlejuice,https://www.imdb.com/title/tt2049403/?ref_=chtmvm_t_92
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chtmvm_t_93
Splice,https://www.imdb.com/title/tt1017460/?ref_=chtmvm_t_94
Titanic,https://www.imdb.com/title/tt0120338/?ref_=chtmvm_t_95
The Gentlemen,https://www.imdb.com/title/tt8367814/?ref_=chtmvm_t_96
Fright Night,https://www.imdb.com/title/tt0089175/?ref_=chtmvm_t_97
The Zone of Interest,https://www.imdb.com/title/tt7160372/?ref_=chtmvm_t_98
Everybody Wants Some!!,https://www.imdb.com/title/tt2937696/?ref_=chtmvm_t_99
My Fault,https://www.imdb.com/title/tt21909764/?ref_=chtmvm_t_100
