Name,Link,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
The Boys in the Boat,https://www.imdb.com/title/tt1856080/?ref_=chtmvm_t_59,40000000,52641306,8400548,2023-12-31 00:00:00,55481773,123,Color,Dolby Digital,2.39 : 1
Madame Web,https://www.imdb.com/title/tt11057302/?ref_=chtmvm_t_60,80000000,43817106,15335860,2024-02-18 00:00:00,100298817,116,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
Bad Boys II,https://www.imdb.com/title/tt0172156/?ref_=chtmvm_t_62,130000000,138608444,46522560,2003-07-20 00:00:00,273340010,147,Color,DTS; Dolby Digital; Dolby Atmos,2.39 : 1
Bade Miyan Chote Miyan,https://www.imdb.com/title/tt18072316/?ref_=chtmvm_t_63,350000000,689505,493782,2024-04-14 00:00:00,2635333,163,Color,Dolby Atmos; Dolby Digital; IMAX 6-Track,2.39 : 1
Bullet Train,https://www.imdb.com/title/tt12593682/?ref_=chtmvm_t_66,85900000,103368602,30030156,2022-08-07 00:00:00,239268602,127,Color,Dolby Atmos; Auro 11.1; IMAX 6-Track,2.39 : 1
Dogma,https://www.imdb.com/title/tt0120655/?ref_=chtmvm_t_68,10000000,30652890,8669945,1999-11-14 00:00:00,31429330,130,Color,DTS; Dolby Digital; SDDS,2.39 : 1
Ghostbusters: Frozen Empire,https://www.imdb.com/title/tt21235248/?ref_=chtmvm_t_71,100000000,113213592,45004673,2024-03-24 00:00:00,201575128,115,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chtmvm_t_74,93000000,319205075,47211490,2001-12-23 00:00:00,887184080,178,Color,DTS; SDDS,2.39 : 1
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chtmvm_t_75,165000000,188020017,47510360,2014-11-09 00:00:00,705191242,169,Color,Datasat; Dolby Digital; IMAX 6-Track; Dolby Surround 7.1,2.39 : 1
Monkey Man,https://www.imdb.com/title/tt9214772/?ref_=chtmvm_t_78,10000000,25116955,10119435,2024-04-07 00:00:00,34661984,121,Color,Dolby Atmos; 12-Track Digital Sound; Dolby Digital; DTS:X; Dolby Surround 7.1; Auro 11.1,2.39 : 1
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chtmvm_t_79,6000000,136381073,302393,1972-03-19 00:00:00,250342030,175,Color,Mono; Dolby Digital,1.85 : 1
St. Elmo's Fire,https://www.imdb.com/title/tt0090060/?ref_=chtmvm_t_80,10000000,37803872,6128157,1985-06-30 00:00:00,37803872,110,Color,Dolby Stereo,2.39 : 1
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chtmvm_t_81,60000000,136801374,18017152,1999-12-12 00:00:00,286801374,189,Color,DTS; Dolby Digital; SDDS,1.85 : 1
Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=chtmvm_t_83,90000000,142502728,41082018,2019-07-28 00:00:00,377617681,161,Color,Dolby Digital; Dolby Atmos; Dolby Surround 7.1,2.39 : 1
Beetlejuice,https://www.imdb.com/title/tt0094721/?ref_=chtmvm_t_86,15000000,74664632,8030897,1988-04-03 00:00:00,74842866,92,Color,Dolby Stereo; Dolby Atmos,1.85 : 1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=chtmvm_t_88,100000000,636238421,162022044,2023-07-23 00:00:00,1445638421,114,Color,Dolby Digital; IMAX 6-Track; 12-Track Digital Sound; D-Cinema 96kHz 7.1; Auro 11.1; Dolby Atmos; DTS:X,2.00 : 1
Twister,https://www.imdb.com/title/tt0117998/?ref_=chtmvm_t_90,92000000,241830615,41059405,1996-05-12 00:00:00,494580615,113,Color,DTS; Dolby Digital; SDDS,2.39 : 1
The Hunger Games,https://www.imdb.com/title/tt1392170/?ref_=chtmvm_t_91,78000000,408010692,152535747,2012-03-25 00:00:00,695220619,142,Color,Dolby Digital; Datasat; SDDS; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chtmvm_t_93,8000000,107928762,9311882,1994-10-16 00:00:00,213928762,154,Color,Dolby Digital; DTS,2.39 : 1
Splice,https://www.imdb.com/title/tt1017460/?ref_=chtmvm_t_94,30000000,17010170,7385277,2010-06-06 00:00:00,27127620,104,Color,SDDS; DTS; Dolby Digital,1.85 : 1
The Gentlemen,https://www.imdb.com/title/tt8367814/?ref_=chtmvm_t_96,22000000,36471795,10651884,2020-01-26 00:00:00,115175729,113,Color,Dolby Digital; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
Fright Night,https://www.imdb.com/title/tt0089175/?ref_=chtmvm_t_97,9000000,24922237,6118543,1985-08-04 00:00:00,24923585,106,Color,Dolby Stereo; Dolby Atmos,2.39 : 1
Everybody Wants Some!!,https://www.imdb.com/title/tt2937696/?ref_=chtmvm_t_99,10000000,3400278,312355,2016-04-03 00:00:00,4644472,117,Color,Dolby Digital; Datasat; Dolby Surround 7.1,1.85 : 1
